artikel;name;ek
200151;ISOVER - Akustic EP 3 - 12 mm (9,00 qm / Paket) Estrich - Dämmplatte, 1200 x 625 mm Estrich - Dämmplatte, 1200 x 625 mm;5.12
200152;KAN-therm Alu-Verbundrohr PE-RT 16 x 2mm - 200m Rolle;0.54
200153;KAN-therm Alu-Verbundrohr PE-RT 16 x 2mm - 500m Rolle;0.54
200154;KAN-therm PE-RT Blue Floor Kunststoffrohr 16 x 2mm - 200m Rolle;0.44
200155;"KNAUF ""Katja Sprint""  Anschlussstreifen  -  200 mm, selbstklebend, Rolle a 0,20 m x 15,00 m";31.9
200156;"KNAUF ""Katja Sprint""  Polymerbitumen- Sperrbahn, 1,25m x  32m,  Dicke 1mm, Glasvlies und Alu- Verbundträger, Kaltselbstklebenaht, je Rolle 40,00 qm";3.06
200157;KNAUF Perlite - Bituperl  -  100 ltr., Estrichschüttung aus bitumenummanteltem Perlit;29.4
200158;KNAUF Perlite - Staubex  -  150 ltr.;15.3
200159;KNAUF Perlite - Staubex - 100 ltr.;10.7
200160;KNAUF Perlite - Staubex PLUS  -  150 ltr., Estrichschüttung mit teilweise Ummantelung von Bitumen;26.4
200161;LDPE-Seitenfaltenmüllsack 1.000 ltr.;1.6
200162;LOGAFLOOR - MFL Heizrohr PE-RT Alu-Verbundrohr 16 x 2,0 - 200 m Rolle;0.68
200163;LOGAFLOOR - MFL Heizrohr PE-RT Alu-Verbundrohr 16 x 2,0 - 500 m Rolle;0.68
200164;MAINCOR - Alu-Verbundrohr PE-RT 16 x 2,0 - 300 m Rolle;0.41
200165;MAINCOR - Heizrohr PE-RT 16 x 2,0 mm - 300 m;0.28000000000000003
200166;MAINCOR - Heizrohr PE-RT 17 x 2,0 mm - 300 m;0.28000000000000003
200167;MAINCOR - Heizrohr PE-Xa 20 x 2,0 mm - 300 m;0.55000000000000004
200168;MAINCOR - Klemmschiene 14 - 17 mm Rohr ( 45 x 1000 mm ) selbstklebend ( 100 m / Karton );1.06
200169;"MAINCOR - MFL Klemmverschraubung 17 x 2,0 - 3/4""";1.39
200170;"MAINCOR - MFL Klemmverschraubung 20 x 2,0 - 3/4""";1.51
200171;MAINCOR - MFL Noppenplatte Premium 11 mm / 035 - 75 kPa, Rohrdurchmesser 14 - 17 mm, VPE 14,56 qm (13 Platten);6.69
200172;MAINCOR - MFL Noppenplatte Premium 30 - 2 mm / 040, Rohrdurchmesser 14-17 mm, VPE 6,72 qm (6 Platten);7.06
200173;MAINCOR - MFL Noppenplatte Premium ohne Dämmung, Rohrdurchmesser 14 - 17 mm, VPE : 13,44 qm (12 Platten);5.07
200174;MAINCOR - MFL Stellantrieb 4.0 230V;7
200175;"MAINCOR - MPR/MFL Klemmverschaubung 16 x 2,0 - 3/4""";1.38
200176;MAINCOR - Rohrführungsbogen 20 mm;0.56000000000000005
200177;Mineralwolle Randstreifen 13/150/1200 mm, je Sack 50 Stk. a 1,20 m;1.18
200178;Misselfix Garant G 702 - Wickelstreifen 70mm - 3,6m;1.5
200179;NORIT - TE- Klebstoff - 1 kg;16.95
200180;NORIT - Gebundene Schüttung - 33 ltr. Zementgebunden mit Leichtzuschlägen;11.75
